overall,reviewText,summary,
1," Returning these. the pictures on here make the shoe appear all black with a touch of pink in the check. however, the whole shoe has pink coming through. I was looking for an all black shoe. I ordered the Nike Women's Flex Supreme TR3 instead and love them!!!",I ordered the Nike Women's Flex Supreme TR3 instead and love them!,
1,wrong shoes,One Star,
1," Unfortunately, this Flex Supreme does NOT have enough support over the toe and ankle are for my requirements.\nReturning for credit.  Thanks anyway.",Did not fit my feet,
1,After using this shoes seven times for regular activities like walking or dancing the sole came out. I am very disappointed. I don't recommend this product at all. The worse part is that I can not return this item because the return window closed 4 days ago.,Poor Quality. Don't buy.,
1," Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants."," Was terribly disappointed, the pants were way too large in ...",
1,They looked very cheap,Returned...looked cheap,
1," I wore these shoe one time, from the airport in Omaha, NE to the airport in Phoenix, AZ. When I arrived in Phoenix, the left shoe/sole started squeaking and won't stop. I want to return for a refund. Need instructions for returning as no paperwork was in my package when it arrived.",Squeaky soles,
1,Artculo equivocado en color,One Star,
1,I usually wear a size 8 and they fit fine. These are way too narrow. Thought they might stretch out but they didnt. Had to give away.,TOO NARROW!,
1,Oops! I returned these because I ordered wrong size!,One Star,
1," I loved these shoes...that is until after about an hour of wear, the green inserts on the sole of the right show began falling off. The wear was in my home, on smooth floors. I can only assume they were defective.",I loved these shoes,
1,I've not even had them a month and the bottom is coming off. I'm not happy!,Falling apart already!!,
1,Ordered 9(m) received 9 Wide for the second time. Returned them for the second time.,One Star,
1,After less than a week the sole ripped off on the outside of the shoe,Poor quality for Nike,
1," Returning these. the pictures on here make the shoe appear all black with a touch of pink in the check. however, the whole shoe has pink coming through. I was looking for an all black shoe. I ordered the Nike Women's Flex Supreme TR3 instead and love them!!!",I ordered the Nike Women's Flex Supreme TR3 instead and love them!,
1,wrong shoes,One Star,
1," Unfortunately, this Flex Supreme does NOT have enough support over the toe and ankle are for my requirements.\nReturning for credit.  Thanks anyway.",Did not fit my feet,
1,After using this shoes seven times for regular activities like walking or dancing the sole came out. I am very disappointed. I don't recommend this product at all. The worse part is that I can not return this item because the return window closed 4 days ago.,Poor Quality. Don't buy.,
1,They looked very cheap,Returned...looked cheap,
1," I wore these shoe one time, from the airport in Omaha, NE to the airport in Phoenix, AZ. When I arrived in Phoenix, the left shoe/sole started squeaking and won't stop. I want to return for a refund. Need instructions for returning as no paperwork was in my package when it arrived.",Squeaky soles,
1,Artculo equivocado en color,One Star,
1,I usually wear a size 8 and they fit fine. These are way too narrow. Thought they might stretch out but they didnt. Had to give away.,TOO NARROW!,
1,Oops! I returned these because I ordered wrong size!,One Star,
1," I loved these shoes...that is until after about an hour of wear, the green inserts on the sole of the right show began falling off. The wear was in my home, on smooth floors. I can only assume they were defective.",I loved these shoes,
1,I've not even had them a month and the bottom is coming off. I'm not happy!,Falling apart already!!,
1,Ordered 9(m) received 9 Wide for the second time. Returned them for the second time.,One Star,
1,After less than a week the sole ripped off on the outside of the shoe,Poor quality for Nike,
1," Returning these. the pictures on here make the shoe appear all black with a touch of pink in the check. however, the whole shoe has pink coming through. I was looking for an all black shoe. I ordered the Nike Women's Flex Supreme TR3 instead and love them!!!",I ordered the Nike Women's Flex Supreme TR3 instead and love them!,
1,wrong shoes,One Star,
1," Unfortunately, this Flex Supreme does NOT have enough support over the toe and ankle are for my requirements.\nReturning for credit.  Thanks anyway.",Did not fit my feet,
1,After using this shoes seven times for regular activities like walking or dancing the sole came out. I am very disappointed. I don't recommend this product at all. The worse part is that I can not return this item because the return window closed 4 days ago.,Poor Quality. Don't buy.,
1,They looked very cheap,Returned...looked cheap,
1," I wore these shoe one time, from the airport in Omaha, NE to the airport in Phoenix, AZ. When I arrived in Phoenix, the left shoe/sole started squeaking and won't stop. I want to return for a refund. Need instructions for returning as no paperwork was in my package when it arrived.",Squeaky soles,
1,Artculo equivocado en color,One Star,
1,I usually wear a size 8 and they fit fine. These are way too narrow. Thought they might stretch out but they didnt. Had to give away.,TOO NARROW!,
1,Oops! I returned these because I ordered wrong size!,One Star,
1," I loved these shoes...that is until after about an hour of wear, the green inserts on the sole of the right show began falling off. The wear was in my home, on smooth floors. I can only assume they were defective.",I loved these shoes,
1,I've not even had them a month and the bottom is coming off. I'm not happy!,Falling apart already!!,
1,Ordered 9(m) received 9 Wide for the second time. Returned them for the second time.,One Star,
1,After less than a week the sole ripped off on the outside of the shoe,Poor quality for Nike,
1," Returning these. the pictures on here make the shoe appear all black with a touch of pink in the check. however, the whole shoe has pink coming through. I was looking for an all black shoe. I ordered the Nike Women's Flex Supreme TR3 instead and love them!!!",I ordered the Nike Women's Flex Supreme TR3 instead and love them!,
1,wrong shoes,One Star,
1," Unfortunately, this Flex Supreme does NOT have enough support over the toe and ankle are for my requirements.\nReturning for credit.  Thanks anyway.",Did not fit my feet,
1,After using this shoes seven times for regular activities like walking or dancing the sole came out. I am very disappointed. I don't recommend this product at all. The worse part is that I can not return this item because the return window closed 4 days ago.,Poor Quality. Don't buy.,
1,They looked very cheap,Returned...looked cheap,
1," I wore these shoe one time, from the airport in Omaha, NE to the airport in Phoenix, AZ. When I arrived in Phoenix, the left shoe/sole started squeaking and won't stop. I want to return for a refund. Need instructions for returning as no paperwork was in my package when it arrived.",Squeaky soles,
1,Artculo equivocado en color,One Star,
1,I usually wear a size 8 and they fit fine. These are way too narrow. Thought they might stretch out but they didnt. Had to give away.,TOO NARROW!,
1,Oops! I returned these because I ordered wrong size!,One Star,
1," I loved these shoes...that is until after about an hour of wear, the green inserts on the sole of the right show began falling off. The wear was in my home, on smooth floors. I can only assume they were defective.",I loved these shoes,
1,I've not even had them a month and the bottom is coming off. I'm not happy!,Falling apart already!!,
1,Ordered 9(m) received 9 Wide for the second time. Returned them for the second time.,One Star,
1,After less than a week the sole ripped off on the outside of the shoe,Poor quality for Nike,
1," Returning these. the pictures on here make the shoe appear all black with a touch of pink in the check. however, the whole shoe has pink coming through. I was looking for an all black shoe. I ordered the Nike Women's Flex Supreme TR3 instead and love them!!!",I ordered the Nike Women's Flex Supreme TR3 instead and love them!,
1,wrong shoes,One Star,
1," Unfortunately, this Flex Supreme does NOT have enough support over the toe and ankle are for my requirements.\nReturning for credit.  Thanks anyway.",Did not fit my feet,
1,After using this shoes seven times for regular activities like walking or dancing the sole came out. I am very disappointed. I don't recommend this product at all. The worse part is that I can not return this item because the return window closed 4 days ago.,Poor Quality. Don't buy.,
1,They looked very cheap,Returned...looked cheap,
1," I wore these shoe one time, from the airport in Omaha, NE to the airport in Phoenix, AZ. When I arrived in Phoenix, the left shoe/sole started squeaking and won't stop. I want to return for a refund. Need instructions for returning as no paperwork was in my package when it arrived.",Squeaky soles,
1,Artculo equivocado en color,One Star,
1,I usually wear a size 8 and they fit fine. These are way too narrow. Thought they might stretch out but they didnt. Had to give away.,TOO NARROW!,
1,Oops! I returned these because I ordered wrong size!,One Star,
1," I loved these shoes...that is until after about an hour of wear, the green inserts on the sole of the right show began falling off. The wear was in my home, on smooth floors. I can only assume they were defective.",I loved these shoes,
1,I've not even had them a month and the bottom is coming off. I'm not happy!,Falling apart already!!,
1,Ordered 9(m) received 9 Wide for the second time. Returned them for the second time.,One Star,
1,After less than a week the sole ripped off on the outside of the shoe,Poor quality for Nike,
1," Returning these. the pictures on here make the shoe appear all black with a touch of pink in the check. however, the whole shoe has pink coming through. I was looking for an all black shoe. I ordered the Nike Women's Flex Supreme TR3 instead and love them!!!",I ordered the Nike Women's Flex Supreme TR3 instead and love them!,
1,wrong shoes,One Star,
1," Unfortunately, this Flex Supreme does NOT have enough support over the toe and ankle are for my requirements.\nReturning for credit.  Thanks anyway.",Did not fit my feet,
1,After using this shoes seven times for regular activities like walking or dancing the sole came out. I am very disappointed. I don't recommend this product at all. The worse part is that I can not return this item because the return window closed 4 days ago.,Poor Quality. Don't buy.,
1,They looked very cheap,Returned...looked cheap,
1," I wore these shoe one time, from the airport in Omaha, NE to the airport in Phoenix, AZ. When I arrived in Phoenix, the left shoe/sole started squeaking and won't stop. I want to return for a refund. Need instructions for returning as no paperwork was in my package when it arrived.",Squeaky soles,
1,Artculo equivocado en color,One Star,
1,I usually wear a size 8 and they fit fine. These are way too narrow. Thought they might stretch out but they didnt. Had to give away.,TOO NARROW!,
1,Oops! I returned these because I ordered wrong size!,One Star,
1," I loved these shoes...that is until after about an hour of wear, the green inserts on the sole of the right show began falling off. The wear was in my home, on smooth floors. I can only assume they were defective.",I loved these shoes,
1,I've not even had them a month and the bottom is coming off. I'm not happy!,Falling apart already!!,
1,Ordered 9(m) received 9 Wide for the second time. Returned them for the second time.,One Star,
1,After less than a week the sole ripped off on the outside of the shoe,Poor quality for Nike,
1," Returning these. the pictures on here make the shoe appear all black with a touch of pink in the check. however, the whole shoe has pink coming through. I was looking for an all black shoe. I ordered the Nike Women's Flex Supreme TR3 instead and love them!!!",I ordered the Nike Women's Flex Supreme TR3 instead and love them!,
1,wrong shoes,One Star,
1," Unfortunately, this Flex Supreme does NOT have enough support over the toe and ankle are for my requirements.\nReturning for credit.  Thanks anyway.",Did not fit my feet,
1,After using this shoes seven times for regular activities like walking or dancing the sole came out. I am very disappointed. I don't recommend this product at all. The worse part is that I can not return this item because the return window closed 4 days ago.,Poor Quality. Don't buy.,
2,Relieved my Plantar Fascitis for 3 Days. Then the unbearable pain returned in full force. These were recommended by my Podiatrist.,These were recommended by my Podiatrist,
2," This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, the ones I ordered from SmartDestination must be seconds as they kill my feet. The hard plastic insert rubs on the outside edges of my feet. I am unable to exchange them as I waited one day too late to use them in my walking shoes.",Not the same as all my other pairs.,
2,Relieved my Plantar Fascitis for 3 Days. Then the unbearable pain returned in full force. These were recommended by my Podiatrist.,These were recommended by my Podiatrist,
2," This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, the ones I ordered from SmartDestination must be seconds as they kill my feet. The hard plastic insert rubs on the outside edges of my feet. I am unable to exchange them as I waited one day too late to use them in my walking shoes.",Not the same as all my other pairs.,
2,Nice pants but too small for a medium. Return it.,Returned also,
2,Nice pants but too small for a medium. Returned it.,Returned,
2,Nice pants but too small for a medium. Return it.,Returned also,
2,Nice pants but too small for a medium. Returned it.,Returned,
2,Nice pants but too small for a medium. Return it.,Returned also,
2,Nice pants but too small for a medium. Returned it.,Returned,
2,Did not fit well. Was not comfortable. Switched to \Fruit of the loom\. Fruit of the loom are somewhat oversized but fit well and are very comfortable.,Was not comfortable. Switched to \Fruit of the loom\,
2,Did not fit well. Was not comfortable. Switched to \Fruit of the loom\. Fruit of the loom are somewhat oversized but fit well and are very comfortable.,Was not comfortable. Switched to \Fruit of the loom\,
2,Nice pants but too small for a medium. Return it.,Returned also,
2,Nice pants but too small for a medium. Returned it.,Returned,
2,Did not fit well. Was not comfortable. Switched to \Fruit of the loom\. Fruit of the loom are somewhat oversized but fit well and are very comfortable.,Was not comfortable. Switched to \Fruit of the loom\,
2,Did not fit well. Was not comfortable. Switched to \Fruit of the loom\. Fruit of the loom are somewhat oversized but fit well and are very comfortable.,Was not comfortable. Switched to \Fruit of the loom\,
2,They run big and are super uncomfortable and the soles squeak. They don't breathe at all.,Two Stars,
2," I **loved** these shoes when I got them. I've noticed that the foam inside tends to compress during a workout, though. I'll lace them tightly enough that they're nearly cutting off my circulation. 20 minutes later, I'm sliding out of them while doing sled pushes.",Foam compresses,
2," I bought these for gym training - weight class and dance class (body jam, Zumba) - and really wanted to like them, since I loved the color and the light weight feel. But when I worked out high impact, my toes tingled, went numb and cramped because the toe bed is very narrow. Also, there wasn't enough cushion for me. When doing lunges, the ball of my feet hurt. Can't return them because I wore them several times. These might be fine for someone with a narrow foot."," Zumba) - and really wanted to like them, since I loved the color and the ...",
2,Comfortable shoe.  First time I've ever bought nikes that feel so large.  It feels about 1/2 size too big.  I bought 7.5.  I normally wear exactly that size and on occasion an 8.,Runs large,
2,Color was not at all what i expected.  It was more orange then red.  Not sure that I am going to keep them.,Color was not at all what i expected. It ...,
2," I've always gotten this size in Nike shoes with similar description, but these are too long- at least an inch and 1/2.",Too large,
2," Tried one in the store and bought it online but it was a different  kind of shoe . Too big , different fit !",Tried one in the store and bought it online but ...,
2,I returned these as they were not true to size. They ran large.,Not true to size,
2," These shoes are poorly constructed and I don't expect them to last more that one summer.  Would not recommend, and will not order another Nike downshifter series again",Cheap,
2," I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",Huh,
2," I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",Huh,
2," I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",Huh,
2," I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",Huh,
2," These shoes are poorly constructed and I don't expect them to last more that one summer.  Would not recommend, and will not order another Nike downshifter series again",Cheap,
2,They run big and are super uncomfortable and the soles squeak. They don't breathe at all.,Two Stars,
2," I **loved** these shoes when I got them. I've noticed that the foam inside tends to compress during a workout, though. I'll lace them tightly enough that they're nearly cutting off my circulation. 20 minutes later, I'm sliding out of them while doing sled pushes.",Foam compresses,
2," I bought these for gym training - weight class and dance class (body jam, Zumba) - and really wanted to like them, since I loved the color and the light weight feel. But when I worked out high impact, my toes tingled, went numb and cramped because the toe bed is very narrow. Also, there wasn't enough cushion for me. When doing lunges, the ball of my feet hurt. Can't return them because I wore them several times. These might be fine for someone with a narrow foot."," Zumba) - and really wanted to like them, since I loved the color and the ...",
2,Comfortable shoe.  First time I've ever bought nikes that feel so large.  It feels about 1/2 size too big.  I bought 7.5.  I normally wear exactly that size and on occasion an 8.,Runs large,
2,Color was not at all what i expected.  It was more orange then red.  Not sure that I am going to keep them.,Color was not at all what i expected. It ...,
2," I've always gotten this size in Nike shoes with similar description, but these are too long- at least an inch and 1/2.",Too large,
2," Tried one in the store and bought it online but it was a different  kind of shoe . Too big , different fit !",Tried one in the store and bought it online but ...,
2,I returned these as they were not true to size. They ran large.,Not true to size,
2,Did not fit well. Was not comfortable. Switched to \Fruit of the loom\. Fruit of the loom are somewhat oversized but fit well and are very comfortable.,Was not comfortable. Switched to \Fruit of the loom\,
2," These shoes are poorly constructed and I don't expect them to last more that one summer.  Would not recommend, and will not order another Nike downshifter series again",Cheap,
2,They run big and are super uncomfortable and the soles squeak. They don't breathe at all.,Two Stars,
2," I **loved** these shoes when I got them. I've noticed that the foam inside tends to compress during a workout, though. I'll lace them tightly enough that they're nearly cutting off my circulation. 20 minutes later, I'm sliding out of them while doing sled pushes.",Foam compresses,
2," I bought these for gym training - weight class and dance class (body jam, Zumba) - and really wanted to like them, since I loved the color and the light weight feel. But when I worked out high impact, my toes tingled, went numb and cramped because the toe bed is very narrow. Also, there wasn't enough cushion for me. When doing lunges, the ball of my feet hurt. Can't return them because I wore them several times. These might be fine for someone with a narrow foot."," Zumba) - and really wanted to like them, since I loved the color and the ...",
2,Comfortable shoe.  First time I've ever bought nikes that feel so large.  It feels about 1/2 size too big.  I bought 7.5.  I normally wear exactly that size and on occasion an 8.,Runs large,
2,Color was not at all what i expected.  It was more orange then red.  Not sure that I am going to keep them.,Color was not at all what i expected. It ...,
2," I've always gotten this size in Nike shoes with similar description, but these are too long- at least an inch and 1/2.",Too large,
2," Tried one in the store and bought it online but it was a different  kind of shoe . Too big , different fit !",Tried one in the store and bought it online but ...,
2,I returned these as they were not true to size. They ran large.,Not true to size,
2," These shoes are poorly constructed and I don't expect them to last more that one summer.  Would not recommend, and will not order another Nike downshifter series again",Cheap,
2,They run big and are super uncomfortable and the soles squeak. They don't breathe at all.,Two Stars,
2," I **loved** these shoes when I got them. I've noticed that the foam inside tends to compress during a workout, though. I'll lace them tightly enough that they're nearly cutting off my circulation. 20 minutes later, I'm sliding out of them while doing sled pushes.",Foam compresses,
2," I bought these for gym training - weight class and dance class (body jam, Zumba) - and really wanted to like them, since I loved the color and the light weight feel. But when I worked out high impact, my toes tingled, went numb and cramped because the toe bed is very narrow. Also, there wasn't enough cushion for me. When doing lunges, the ball of my feet hurt. Can't return them because I wore them several times. These might be fine for someone with a narrow foot."," Zumba) - and really wanted to like them, since I loved the color and the ...",
2,Comfortable shoe.  First time I've ever bought nikes that feel so large.  It feels about 1/2 size too big.  I bought 7.5.  I normally wear exactly that size and on occasion an 8.,Runs large,
2,Color was not at all what i expected.  It was more orange then red.  Not sure that I am going to keep them.,Color was not at all what i expected. It ...,
2," I've always gotten this size in Nike shoes with similar description, but these are too long- at least an inch and 1/2.",Too large,
2," Tried one in the store and bought it online but it was a different  kind of shoe . Too big , different fit !",Tried one in the store and bought it online but ...,
2,I returned these as they were not true to size. They ran large.,Not true to size,
2,They run big and are super uncomfortable and the soles squeak. They don't breathe at all.,Two Stars,
2," I **loved** these shoes when I got them. I've noticed that the foam inside tends to compress during a workout, though. I'll lace them tightly enough that they're nearly cutting off my circulation. 20 minutes later, I'm sliding out of them while doing sled pushes.",Foam compresses,
2," I bought these for gym training - weight class and dance class (body jam, Zumba) - and really wanted to like them, since I loved the color and the light weight feel. But when I worked out high impact, my toes tingled, went numb and cramped because the toe bed is very narrow. Also, there wasn't enough cushion for me. When doing lunges, the ball of my feet hurt. Can't return them because I wore them several times. These might be fine for someone with a narrow foot."," Zumba) - and really wanted to like them, since I loved the color and the ...",
2,Comfortable shoe.  First time I've ever bought nikes that feel so large.  It feels about 1/2 size too big.  I bought 7.5.  I normally wear exactly that size and on occasion an 8.,Runs large,
2,Color was not at all what i expected.  It was more orange then red.  Not sure that I am going to keep them.,Color was not at all what i expected. It ...,
2," I've always gotten this size in Nike shoes with similar description, but these are too long- at least an inch and 1/2.",Too large,
2," Tried one in the store and bought it online but it was a different  kind of shoe . Too big , different fit !",Tried one in the store and bought it online but ...,
2,I returned these as they were not true to size. They ran large.,Not true to size,
2," These shoes are poorly constructed and I don't expect them to last more that one summer.  Would not recommend, and will not order another Nike downshifter series again",Cheap,
2,They run big and are super uncomfortable and the soles squeak. They don't breathe at all.,Two Stars,
2," I **loved** these shoes when I got them. I've noticed that the foam inside tends to compress during a workout, though. I'll lace them tightly enough that they're nearly cutting off my circulation. 20 minutes later, I'm sliding out of them while doing sled pushes.",Foam compresses,
2," I bought these for gym training - weight class and dance class (body jam, Zumba) - and really wanted to like them, since I loved the color and the light weight feel. But when I worked out high impact, my toes tingled, went numb and cramped because the toe bed is very narrow. Also, there wasn't enough cushion for me. When doing lunges, the ball of my feet hurt. Can't return them because I wore them several times. These might be fine for someone with a narrow foot."," Zumba) - and really wanted to like them, since I loved the color and the ...",
2,Comfortable shoe.  First time I've ever bought nikes that feel so large.  It feels about 1/2 size too big.  I bought 7.5.  I normally wear exactly that size and on occasion an 8.,Runs large,
2,Color was not at all what i expected.  It was more orange then red.  Not sure that I am going to keep them.,Color was not at all what i expected. It ...,
2," I've always gotten this size in Nike shoes with similar description, but these are too long- at least an inch and 1/2.",Too large,
2," Tried one in the store and bought it online but it was a different  kind of shoe . Too big , different fit !",Tried one in the store and bought it online but ...,
2,I returned these as they were not true to size. They ran large.,Not true to size,
2," These shoes are poorly constructed and I don't expect them to last more that one summer.  Would not recommend, and will not order another Nike downshifter series again",Cheap,
2," These shoes are poorly constructed and I don't expect them to last more that one summer.  Would not recommend, and will not order another Nike downshifter series again",Cheap,
2,They run big and are super uncomfortable and the soles squeak. They don't breathe at all.,Two Stars,
2," I **loved** these shoes when I got them. I've noticed that the foam inside tends to compress during a workout, though. I'll lace them tightly enough that they're nearly cutting off my circulation. 20 minutes later, I'm sliding out of them while doing sled pushes.",Foam compresses,
2," I bought these for gym training - weight class and dance class (body jam, Zumba) - and really wanted to like them, since I loved the color and the light weight feel. But when I worked out high impact, my toes tingled, went numb and cramped because the toe bed is very narrow. Also, there wasn't enough cushion for me. When doing lunges, the ball of my feet hurt. Can't return them because I wore them several times. These might be fine for someone with a narrow foot."," Zumba) - and really wanted to like them, since I loved the color and the ...",
2,Comfortable shoe.  First time I've ever bought nikes that feel so large.  It feels about 1/2 size too big.  I bought 7.5.  I normally wear exactly that size and on occasion an 8.,Runs large,
2,Color was not at all what i expected.  It was more orange then red.  Not sure that I am going to keep them.,Color was not at all what i expected. It ...,
2," I've always gotten this size in Nike shoes with similar description, but these are too long- at least an inch and 1/2.",Too large,
2," Tried one in the store and bought it online but it was a different  kind of shoe . Too big , different fit !",Tried one in the store and bought it online but ...,
2,I returned these as they were not true to size. They ran large.,Not true to size,
2," These shoes are poorly constructed and I don't expect them to last more that one summer.  Would not recommend, and will not order another Nike downshifter series again",Cheap,
2,They run big and are super uncomfortable and the soles squeak. They don't breathe at all.,Two Stars,
2," I **loved** these shoes when I got them. I've noticed that the foam inside tends to compress during a workout, though. I'll lace them tightly enough that they're nearly cutting off my circulation. 20 minutes later, I'm sliding out of them while doing sled pushes.",Foam compresses,
2," I bought these for gym training - weight class and dance class (body jam, Zumba) - and really wanted to like them, since I loved the color and the light weight feel. But when I worked out high impact, my toes tingled, went numb and cramped because the toe bed is very narrow. Also, there wasn't enough cushion for me. When doing lunges, the ball of my feet hurt. Can't return them because I wore them several times. These might be fine for someone with a narrow foot."," Zumba) - and really wanted to like them, since I loved the color and the ...",
2,Comfortable shoe.  First time I've ever bought nikes that feel so large.  It feels about 1/2 size too big.  I bought 7.5.  I normally wear exactly that size and on occasion an 8.,Runs large,
2,Color was not at all what i expected.  It was more orange then red.  Not sure that I am going to keep them.,Color was not at all what i expected. It ...,
2," I've always gotten this size in Nike shoes with similar description, but these are too long- at least an inch and 1/2.",Too large,
2," Tried one in the store and bought it online but it was a different  kind of shoe . Too big , different fit !",Tried one in the store and bought it online but ...,
2,I returned these as they were not true to size. They ran large.,Not true to size,
3,Waaay too small. Will use for futur children!,Oops!,
3,Waaay too small. Will use for future child.,Oops!,
3,The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.\n\nThat being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.,Don't sweat the pants,
3,They fit great. But they fade bad,Three Stars,
3,Average product.  As described.,Three Stars,
3,As described.,Three Stars,
3,The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.\n\nThat being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.,Don't sweat the pants,
3,They fit great. But they fade bad,Three Stars,
3,Average product.  As described.,Three Stars,
3,As described.,Three Stars,
3,The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.\n\nThat being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.,Don't sweat the pants,
3,They fit great. But they fade bad,Three Stars,
3,Average product.  As described.,Three Stars,
3,As described.,Three Stars,
3," No pockets and huge, the bottom of the pants go over shoes",large with no pockets,
3," No pockets and huge, the bottom of the pants go over shoes",large with no pockets,
3,The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.\n\nThat being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.,Don't sweat the pants,
3,They fit great. But they fade bad,Three Stars,
3,Average product.  As described.,Three Stars,
3,As described.,Three Stars,
3," No pockets and huge, the bottom of the pants go over shoes",large with no pockets,
3," No pockets and huge, the bottom of the pants go over shoes",large with no pockets,
3,ok but too big,Three Stars,
3," This shoe is JUST OK. Its not as comfortable as I was expecting, compared to my last pair of NIKE shoes. I hope they hold up.",Its not as comfortable as I was expecting,
3,The material is real then hope they don't fall apart . to expensive for what you get.,Three Stars,
3,Nice,Three Stars,
3,Great look but zero support inside the shoe. Had to buy expensive inserts to be wearable. Expected more from a nike shoe.," Style 10/10, Comfort 3/10",
3," On the left shoe, there were two stained yellow spots.",Not in perfect condition,
3," These are a bit longer than they should be. I usually wear a 9 but could have easily ordered a 8.5. The width is accurate.\n\nThe pink is even pinker than shown and the light gray is over the very bright pink so it isn't as gray as shown in the picture. It makes the shoe a bit overwhelming. Also two grommets on each shoe is dark. I'm not referring to the dark grommets closer to the toe as shown in the photo, I'm talking about two grommets up at the top of of the laces (opposite side of side shown in photo). I thought it was faulty at first until I noticed they were on the same side of each shoe. Kind of odd and not pictured.\n\nOverall, they are very comfortable shoes which is why I am keeping them...even if you can see me coming from a mile away.",I usually wear a 9 but could have easily ordered a 8,
3," Very nice shoe, just a bit to snug/small for my foot. The Flex wire really makes it the shoe fit tight to your foot. I need more \wiggle\ room in my footwear, otherwise I would have kept them.",Fits snug,
3," Not sure why, but my mid section of my foot starts to hurt using these shoes for a long day or a tough workout at the gym. I've owned other nike shoes of this line but that never happened to me."," Not sure why, but my mid section of my ...",
3,No arch support but l love the colors!,Three Stars,
